model,device,ctx_K,batch,dense_tpot_p50_ms,dense_tpot_p99_ms,sparse_tpot_p50_ms,sparse_tpot_p99_ms,speedup_dense_over_sparse,dense_hbf_stall_ms,sparse_hbf_stall_ms,dense_throughput_tok_s,sparse_throughput_tok_s,source
Llama-2-70b-hf,a100,16,8,122.81,122.81,122.81,122.81,1.0,0.0,0.0,65.28,65.28,simulated
Llama-2-70b-hf,a100,16,16,122.81,122.81,122.81,122.81,1.0,0.0,0.0,65.28,65.28,simulated
Llama-2-70b-hf,a100,16,32,122.81,122.81,122.81,122.81,1.0,0.0,0.0,65.28,65.28,simulated
Llama-2-70b-hf,a100,16,64,122.81,122.81,122.81,122.81,1.0,0.0,0.0,65.28,65.28,simulated
Llama-2-70b-hf,a100,16,128,122.8100,122.8100,122.8100,122.8100,1.0000,0.0000,0.0000,1042.26,1042.26,analytical
Llama-2-70b-hf,a100,32,4,191.13,214.88,191.13,214.88,1.0,0.0,0.0,37.27,37.27,simulated
Llama-2-70b-hf,a100,32,8,132.2,132.2,122.81,122.81,1.076,37.54,0.0,60.63,65.28,simulated
Llama-2-70b-hf,a100,32,16,132.2,132.2,122.81,122.81,1.076,37.54,0.0,60.63,65.28,simulated
Llama-2-70b-hf,a100,32,32,132.2,132.2,122.81,122.81,1.076,37.54,0.0,60.63,65.28,simulated
Llama-2-70b-hf,a100,32,64,122.8100,122.8100,122.8100,122.8100,1.0000,0.0000,0.0000,521.13,521.13,analytical
Llama-2-70b-hf,a100,32,128,122.8100,122.8100,122.8100,122.8100,1.0000,0.0000,0.0000,1042.26,1042.26,analytical
Llama-2-70b-hf,a100,64,4,219.16,242.91,191.13,214.88,1.147,112.12,0.0,32.97,37.27,simulated
Llama-2-70b-hf,a100,64,8,240.12,240.12,122.81,122.81,1.955,469.24,0.0,33.35,65.28,simulated
Llama-2-70b-hf,a100,64,16,240.12,240.12,122.81,122.81,1.955,469.24,0.0,33.35,65.28,simulated
Llama-2-70b-hf,a100,64,32,142.1616,142.1616,122.8100,122.8100,1.1576,19.3516,0.0000,225.10,260.57,analytical
Llama-2-70b-hf,a100,64,64,122.8100,122.8100,122.8100,122.8100,1.0000,0.0000,0.0000,521.13,521.13,analytical
Llama-2-70b-hf,a100,64,128,122.8100,122.8100,122.8100,122.8100,1.0000,0.0000,0.0000,1042.26,1042.26,analytical
Llama-2-70b-hf,a100,128,4,414.88,456.83,191.13,214.88,2.171,967.79,0.0,17.52,37.27,simulated
Llama-2-70b-hf,a100,128,8,456.81,456.81,122.81,122.81,3.72,1335.98,0.0,17.52,65.28,simulated
Llama-2-70b-hf,a100,128,16,455.9600,455.9600,122.8100,122.8100,3.7127,333.1500,0.0000,35.09,130.28,analytical
Llama-2-70b-hf,a100,128,32,164.3710,164.3710,122.8100,122.8100,1.3384,41.5610,0.0000,194.68,260.57,analytical
Llama-2-70b-hf,a100,128,64,122.8100,122.8100,122.8100,122.8100,1.0000,0.0000,0.0000,521.13,521.13,analytical
Llama-2-70b-hf,a100,128,128,122.8100,122.8100,122.8100,122.8100,1.0000,0.0000,0.0000,1042.26,1042.26,analytical
Llama-2-70b-hf,a100,256,4,811.15,895.03,191.13,214.88,4.244,2720.62,0.0,8.94,37.27,simulated
Llama-2-70b-hf,a100,256,8,889.6436,889.6436,122.8100,122.8100,7.2441,766.8336,0.0000,8.99,65.14,analytical
Llama-2-70b-hf,a100,256,16,887.6400,887.6400,122.8100,122.8100,7.2278,764.8300,0.0000,18.03,130.28,analytical
Llama-2-70b-hf,a100,256,32,208.7897,208.7897,122.8100,122.8100,1.7001,85.9797,0.0000,153.26,260.57,analytical
Llama-2-70b-hf,a100,256,64,122.8100,122.8100,122.8100,122.8100,1.0000,0.0000,0.0000,521.13,521.13,analytical
Llama-2-70b-hf,a100,256,128,122.8100,122.8100,122.8100,122.8100,1.0000,0.0000,0.0000,1042.26,1042.26,analytical
Llama-2-70b-hf,a100,512,4,1600.5850,1785.7686,191.1300,213.2433,8.3743,1409.4550,0.0000,2.50,20.93,analytical
Llama-2-70b-hf,a100,512,8,1755.4321,1755.4321,122.8100,122.8100,14.2939,1632.6221,0.0000,4.56,65.14,analytical
Llama-2-70b-hf,a100,512,16,1751.0000,1751.0000,122.8100,122.8100,14.2578,1628.1900,0.0000,9.14,130.28,analytical
Llama-2-70b-hf,a100,512,32,297.6273,297.6273,122.8100,122.8100,2.4235,174.8173,0.0000,107.52,260.57,analytical
Llama-2-70b-hf,a100,512,64,122.8100,122.8100,122.8100,122.8100,1.0000,0.0000,0.0000,521.13,521.13,analytical
Llama-2-70b-hf,a100,512,128,122.8100,122.8100,122.8100,122.8100,1.0000,0.0000,0.0000,1042.26,1042.26,analytical
Llama-2-70b-hf,a40,4,4,524.8,589.87,525.76,590.96,0.998,0.0,0.0,13.57,13.54,simulated
